,Accuracy Mean,Std
Subject 1,0.6571759259259259,0.03723831304130017
Subject 2,0.6407407407407406,0.03639195161929599
Subject 3,0.649537037037037,0.03545069171694505
Subject 4,0.6416666666666667,0.03510285201345808
Subject 5,0.6278935185185186,0.02730966484721509
Subject 6,0.6445601851851852,0.04272369993551236
Subject 7,0.6491898148148149,0.032919848976243116
Subject 8,0.6619212962962965,0.027039524159451225
Subject 9,0.6515046296296296,0.03547392339811236
