,Accuracy Mean,Std
Subject 1,0.812037037037037,0.032814898419758064
Subject 2,0.8231481481481483,0.03930007486982262
Subject 3,0.7791666666666667,0.04094278603606577
Subject 4,0.7872685185185186,0.04726928936143692
Subject 5,0.7988425925925926,0.04196076761116886
Subject 6,0.8412037037037038,0.027704378334031828
Subject 7,0.7909722222222222,0.04407336892526478
Subject 8,0.8550925925925925,0.02683987600117732
Subject 9,0.790277777777778,0.047689679759414974
