,Accuracy Mean,Std
Subject 1,0.8150462962962963,0.03602420097039705
Subject 2,0.812962962962963,0.04097679928399781
Subject 3,0.7747685185185185,0.042865345477851084
Subject 4,0.7851851851851852,0.04776377917232939
Subject 5,0.7909722222222222,0.039372951859549865
Subject 6,0.8342592592592591,0.03059060840126257
Subject 7,0.7907407407407406,0.04150173116854623
Subject 8,0.8539351851851851,0.025080246723670093
Subject 9,0.7819444444444444,0.053208524874699945
