,Accuracy Mean,Std
Subject 1,0.683912037037037,0.032129054256242094
Subject 2,0.6631944444444444,0.03308242112952883
Subject 3,0.6600694444444445,0.03203552333985565
Subject 4,0.6645833333333333,0.025122940169711803
Subject 5,0.6436342592592592,0.026770660697430584
Subject 6,0.6935185185185185,0.032153436051710144
Subject 7,0.6520833333333333,0.02941819089302366
Subject 8,0.6940972222222224,0.03477831117949724
Subject 9,0.662962962962963,0.032894813551278684
