,Accuracy Mean,Std
Subject 1,0.6221064814814814,0.03773130396459038
Subject 2,0.6344907407407409,0.02965222662627122
Subject 3,0.6150462962962963,0.041227755152622045
Subject 4,0.6285879629629628,0.02442623260625152
Subject 5,0.6143518518518518,0.0422502851022434
Subject 6,0.6232638888888888,0.02987703243369221
Subject 7,0.6226851851851851,0.03458305443885758
Subject 8,0.6434027777777778,0.02605041005485447
Subject 9,0.6270833333333334,0.0364750476090102
