,Accuracy Mean,Std
Subject 1,0.5765046296296297,0.24581924678027153
Subject 2,0.6309027777777777,0.1890375841629542
Subject 3,0.5662037037037038,0.23372569524398457
Subject 4,0.6421296296296296,0.14221405382599903
Subject 5,0.5644675925925926,0.23275031305277766
Subject 6,0.6717592592592594,0.1458730104754995
Subject 7,0.6483796296296296,0.12740295770384316
Subject 8,0.6741898148148148,0.1341552019326491
Subject 9,0.6212962962962963,0.1759371950581749
