,Accuracy Mean,Std
Subject 1,0.8293981481481483,0.05592613671164594
Subject 2,0.804861111111111,0.06405431816499954
Subject 3,0.8016203703703704,0.06506688747495928
Subject 4,0.805324074074074,0.045560707138711354
Subject 5,0.805787037037037,0.05519704927775752
Subject 6,0.8201388888888888,0.042513891661725894
Subject 7,0.8212962962962962,0.03871765653158346
Subject 8,0.8537037037037036,0.04254224076911166
Subject 9,0.7893518518518519,0.04262026073963418
