,Accuracy Mean,Std
Subject 1,0.8168981481481481,0.03478312559955794
Subject 2,0.825925925925926,0.03599220689921631
Subject 3,0.7979166666666666,0.03374472854224159
Subject 4,0.7958333333333333,0.04369791628346992
Subject 5,0.8090277777777777,0.044378688818643604
Subject 6,0.8511574074074073,0.035809369678760396
Subject 7,0.8067129629629628,0.031224269242240626
Subject 8,0.8435185185185187,0.02689970193765547
Subject 9,0.8189814814814815,0.04596874870320944
