,Accuracy Mean,Std
Subject 1,0.7023148148148148,0.24808983905869683
Subject 2,0.83125,0.0329477115674346
Subject 3,0.7756944444444444,0.1015196075143937
Subject 4,0.7046296296296296,0.22271165238877683
Subject 5,0.6763888888888889,0.24735353358327367
Subject 6,0.7356481481481482,0.24393755314709326
Subject 7,0.7462962962962962,0.1390400412075058
Subject 8,0.804861111111111,0.13912999905053716
Subject 9,0.7851851851851852,0.15442018416795017
