,Accuracy Mean,Std
Subject 1,0.6637731481481481,0.03424733119427033
Subject 2,0.6438657407407408,0.03863921034338332
Subject 3,0.634837962962963,0.03173808649334831
Subject 4,0.6518518518518518,0.03466353064321276
Subject 5,0.624074074074074,0.02577044981517142
Subject 6,0.6726851851851852,0.033403988902865625
Subject 7,0.6326388888888889,0.03549374329029274
Subject 8,0.6756944444444445,0.034821616997033115
Subject 9,0.6452546296296297,0.029040318264036687
